,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,66.44597135533319,145056755.54273477,-284311174.4177888,284311307.30973154,218307826.01854765
Ka2_1,0.0817345614247563,246046.72126088035,-482251.49193676404,482251.6554058869,301031432.6912827
Ka3_1,10.198535758228376,23100421.43337976,-45276815.81088857,45276836.207960084,226507235.7543277
K_g6p_1,10.921072942020386,228948515.62466782,-448739079.703276,448739101.5454219,2096392147.915758
Ks_g6p_pgi,6.84594345081449,40.84727336744718,-73.21471234938198,86.90659925101096,596.6639026588426
kcat_f_2,521.9685408071525,2966.9013035602084,-5293.1580141708555,6337.095095785161,568.4061531701324
kcat_f_3,750.21775561174,212824.58414952553,-416385.9671774583,417886.4026886818,28368.374722880937
Ks_fbp_4,0.0031136443448343426,0.0033925930584884885,-0.0035358380498030947,0.00976312673947178,108.95891382446851
kcat_f_4,3.6700583662822415,0.9166664444572667,1.8733921351459988,5.466724597418484,24.97689009196459
kcat_f_5,2904.0400363590466,687311.1553687621,-1344225.8244864147,1350033.9045591329,23667.413216192486
kcat_f_6,417.63757848984005,389026.2095036925,-762073.7330487475,762909.0082057272,93149.2350162538
kcat_f_7,985.0425588307176,794024508.2315924,-1556287051.0913622,1556289021.17648,80608142.3704301
kcat_f_8,908.7610046374261,211900.34760145654,-414415.9202942174,416233.4423034922,23317.500037977497
Ks_3pg_8,2.185514950330588,540.8699765192941,-1057.919639027486,1062.2906689281472,24747.942192638875
kcat_f_9,284.4110028884004,44888.32592611974,-87696.70781230628,88265.52981808309,15782.9076478217
Ks_2pg_9,0.466744429266385,77.51308767945818,-151.45890742247164,152.3923962810044,16607.180036683236
