param_free,theta,std_err,ci_low,ci_high,cv_percent,variance,ci_crosses_zero
K_g6p_1,10.695770988172844,775439345.8986024,-1519861107.2654896,1519861128.6570315,7249962127.61162,6.013061791676522e+17,True
Ka2_1,0.0603688932521806,2278925.2503658026,-4466693.43034808,4466693.551085867,3774999221.612341,5193500296754.835,True
Ka3_1,5.190127563241804,191693462.2788905,-375719180.87649775,375719191.2567529,3693424871.4140825,3.67463834804684e+16,True
v_max_1,74.29887978408026,2577693672.9763613,-5052279524.734788,5052279673.332547,3469357385.289508,6.644504671702363e+18,True
kcat_f_7,980.6324826037642,102563755.51509117,-201023980.17709604,201025941.44206128,10458939.239169912,1.0519323945359392e+16,True
kcat_f_6,15.527731274350224,1610996.0648195208,-3157536.7593149864,3157567.814777535,10374961.005930563,2595308320863.982,True
Ks_2pg_9,0.0139599378870756,5.660870835581488,-11.08134689985264,11.109266775626793,40550.83110951679,32.04545861713705,True
Ks_3pg_8,0.2610138930319528,58.38272113566239,-114.16911953286632,114.69114731893023,22367.668041530374,3408.54212720452,True
kcat_f_9,303.3980704153382,50984.46152807127,-99626.14652460437,100232.94266543502,16804.477845978337,2599415317.3073792,True
kcat_f_8,613.0282204903998,100242.36789571818,-195862.01285511724,197088.06929609805,16351.99890398651,10048532321.340511,True
kcat_f_5,2911.5804492903167,464313.7692206532,-907143.40722319,912966.5681217706,15947.138583576743,215587276287.89005,True
kcat_f_3,693.6841067135074,63347.47222390995,-123467.36145214998,124854.729665577,9132.034540049302,4012902237.1590424,True
Ks_g6p_pgi,1.370223604829676,8.546323533722832,-15.380570521267074,18.121017730926425,623.7174358695399,73.03964594306471,True
kcat_f_2,521.3764598356291,2768.7744272205923,-4905.421417516732,5948.17433718799,531.0509086070907,7666111.82883072,True
kcat_f_4,3.6723349133207863,0.5803561034055337,2.53483695064594,4.809832875995633,15.80346338511741,0.3368132067600545,False
