,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,1465.3744517526989,96621703089366.44,-189378538053692.84,189378538056623.6,6593652767304.6
Ka1_1,27.395598149899627,1058929112565.5173,-2075501060601.0183,2075501060655.8093,3865325760625.515
Ka2_1,14.745624634630119,1098174018721.2423,-2152421076678.8894,2152421076708.3806,7447456760442.547
Ka3_1,51.697624649650834,1456168867207.272,-2854090979674.555,2854090979777.9507,2816703624345.547
Ks_g6p_pgi,23.676136885877703,8850.829183562488,-17323.949062896598,17371.301336668355,37382.91101383948
Kp_f6p_pgi,85.30689499654089,415267.4551407737,-813838.9051809198,814009.5189709129,486792.3690782701
kcat_f_2,9967.768255351863,3767755.98377117,-7374833.959936141,7394769.496446845,37799.39387884743
Ks_f6p_3,5.191914727896773,3863048521.1624246,-7571575096.286437,7571575106.670266,74405084128.32375
Ks_atp_3,3.9596766981555183,70022675312.05608,-137244443607.67024,137244443615.58958,1768393751557.388
Kp_fbp_3,55.90144358128571,0.0,55.90144358128571,55.90144358128571,0.0
Kp_adp_3,55.763878347094355,0.0,55.763878347094355,55.763878347094355,0.0
kcat_f_3,9983.66029808667,1019434247.6080883,-1998081141.6515548,1998101108.972151,10211026.989805121
Ks_fbp_4,26.81925000368272,27753.331388371913,-54369.710271205266,54423.34877121263,103482.87660751486
Kp_g3p_4,54.865210951955824,0.0,54.865210951955824,54.865210951955824,0.0
Kp_dhap_4,53.80362689712913,0.0,53.80362689712913,53.80362689712913,0.0
kcat_f_4,2100.2566515648373,1882947.7147581587,-3688477.264274426,3692677.7775775557,89653.21992220482
kcat_f_5,3386.9498554685006,358566949.22863984,-702787833.5382786,702794607.4379895,10586721.520240547
Ks_dhap_5,0.00010404214562096321,433230.6562005182,-849132.0860489735,849132.0862570577,416399194398.4165
Kp_g3p_5,31.324829265130354,5089633.120937091,-9975649.592207434,9975712.241865965,16247919.750364555
kcat_f_6,2512.117399561196,1658825745741.0588,-3251298459140.358,3251298464164.5923,66032970673.695984
Ks_g3p_6,11.228300362025783,59909632262.79584,-117422879223.85153,117422879246.30814,533559223846.6543
Ks_pi_6,0.00010021577142197883,52985467674.91183,-103851516642.82707,103851516642.82729,5.2871386332801624e+16
Ks_nad_6,1.7827576060689985,2437291.1032941425,-4777088.779698913,4777092.345214126,136714665.80745086
Kp_pgp_6,40.39617967807713,5.51399469667053e+18,-1.0807429605474238e+19,1.0807429605474238e+19,1.3649792481893915e+19
Kp_nadh_6,53.85014082071614,5.206608085703683e+18,-1.0204951847979219e+19,1.0204951847979219e+19,9.668699108955165e+18
kcat_f_7,5025.155403364823,209011047830352.5,-409661653742465.75,409661653752516.0,4159295206878.569
Ks_pgp_7,0.18020534726407594,1014059567.7554778,-1987556752.620531,1987556752.9809418,562724460262.2462
Ks_adp_7,0.00010007839680338068,1016450729.1610006,-1992243429.155461,1992243429.1556613,1015654488508617.5
Ks_3pg_7,35.519696386718884,3.342883135987424e+16,-6.552050946535348e+16,6.5520509465353544e+16,9.411350535184632e+16
Ks_atp_7,31.82878704622556,3.2162596552822228e+16,-6.303868924353154e+16,6.30386892435316e+16,1.0104876603092624e+17
kcat_f_8,1343.4240894151371,110361288.07534711,-216306781.20359093,216309468.05176973,8214925.49857381
Ks_3pg_8,2.637562936180892,632171.5747480236,-1239053.6489431902,1239058.9240690626,23968018.58549727
Ks_2pg_8,54.10884833881525,67587.56055550475,-132417.5098404505,132525.7275371281,124910.36610553856
kcat_f_9,6781.010518739451,376124064.76448274,-737196385.9278674,737209947.948905,5546725.871093353
Ks_2pg_9,1.9209277003701268,266339.46897102764,-522023.43825551384,522027.28011091455,13865148.017788958
Ks_pep_9,56.27592684288453,12314796.291813785,-24136944.456028175,24137057.00788186,21882884.890008446
