param,value
v_max_1,80.9955121971174
Ka1_1,0.00170931588831376
Ka2_1,0.04095358030655888
Ka3_1,5.3027416149037645
K_g6p_1,11.277738209739912
Ks_g6p_pgi,6.971282151137156
Kp_f6p_pgi,10.053133795617752
kcat_f_2,501.27588859769156
Ks_f6p_3,0.9077496265788726
Ks_atp_3,2.110339522199133
Kp_fbp_3,9.994058559613192
Kp_adp_3,10.024400588123411
kcat_f_3,750.9071261139214
Ks_fbp_4,0.0010261604055045775
Kp_g3p_4,10.068125505743485
Kp_dhap_4,10.144934970862984
kcat_f_4,3.5576198828504246
kcat_f_5,916.2424120951044
Ks_dhap_5,0.0012273414187519264
Kp_g3p_5,10.797906416294285
kcat_f_6,348.23182564054156
Ks_g3p_6,1.071529795669161
Ks_pi_6,6.862286322538351
Ks_nad_6,0.0010177266601310792
Kp_pgp_6,9.987748072000874
Kp_nadh_6,10.00296694182834
kcat_f_7,983.4346148323846
Ks_pgp_7,0.0014479031109328453
Ks_adp_7,0.0014479031109329292
Ks_3pg_7,9.48348841628496
Ks_atp_7,9.358753432485184
kcat_f_8,561.9998130735495
Ks_3pg_8,3.60341437973026
Ks_2pg_8,9.950225398871439
kcat_f_9,247.64946452710691
Ks_2pg_9,0.45278305944783
Ks_pep_9,7.461119119264586
